OBJECTID,STATE,ZIP,Zipcode,Pct_Obese,ObsOrOvrwt,Shape__Area,Shape__Length
1,IL,60002,60002,0.266,0.615,1149062138.05115,215525.155184308
2,IL,60010,60010,0.145,0.482,802735362.80188,178637.109618217
3,IL,60015,60015,0.135,0.463,367457579.630371,111400.890557549
4,IL,60020,60020,0.267,0.608,166617676.169922,92363.0846254123
5,IL,60030,60030,0.23,0.573,845517890.633911,247258.224672059
6,IL,60031,60031,0.234,0.578,527117600.520508,163995.181561449
7,IL,60035,60035,0.132,0.469,345792947.35376,115796.723819492
8,IL,60040,60040,0.186,0.531,17809434.3378906,25907.3724671979
9,IL,60041,60041,0.213,0.564,391955019.530884,152724.616882906
10,IL,60042,60042,0.242,0.585,45177572.980957,45385.395225679
11,IL,60044,60044,0.146,0.473,212777737.947998,92539.7087308114
12,IL,60045,60045,0.117,0.451,621475385.131836,161457.245301149
13,IL,60046,60046,0.248,0.593,730424359.515137,207743.912573777
14,IL,60047,60047,0.163,0.503,919381804.827759,176981.85941999
15,IL,60048,60048,0.159,0.496,819008275.917114,196071.573674247
16,IL,60060,60060,0.218,0.568,617591322.949341,180171.962435836
17,IL,60061,60061,0.171,0.504,257421150.568848,102713.138127104
18,IL,60064,60064,0.357,0.709,139901116.547363,90452.8955856687
19,IL,60069,60069,0.146,0.493,170066928.72876,146555.427438204
20,IL,60073,60073,0.28,0.63,519658694.928833,209118.936757732
21,IL,60083,60083,0.228,0.597,728237916.581543,164753.217611995
22,IL,60084,60084,0.228,0.578,505163484.499878,159182.367882794
23,IL,60085,60085,0.323,0.679,391907383.858643,137038.947753735
24,IL,60087,60087,0.312,0.669,389880041.849121,163122.611792888
25,IL,60089,60089,0.188,0.523,227772422.15625,164174.744391854
26,IL,60096,60096,0.281,0.641,141373658.447266,62444.4716610878
27,IL,60099,60099,0.341,0.679,626264179.764893,188925.390246079
